id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm91651,Double Dribble,MOVIE,1946,,7,['animation'],['US'],,,,,4.305,6.3
tm97393,The Wise Little Hen,MOVIE,1934,,8,['animation'],['US'],,,,,6.647,6.4
tm78018,Chef Donald,MOVIE,1941,,7,['animation'],['US'],,,,,6.77,6.8
tm90592,Rescue Dog,MOVIE,1947,,7,['animation'],['US'],,,,,2.328,6.2
tm4872,Bone Bandit,MOVIE,1948,,7,['animation'],['US'],,,,,4.56,6.1
tm110541,Mickey's Rival,MOVIE,1936,,8,['animation'],['US'],,,,,6.923,6.1
tm161054,Beach Picnic,MOVIE,1939,,8,['animation'],['US'],,,,,7.442,6.2
tm62513,All in a Nutshell,MOVIE,1949,,7,['animation'],['US'],,,,,3.61,6.6
tm160483,Society Dog Show,MOVIE,1939,,8,['animation'],['US'],,,,,3.391,6.2
tm141685,Ye Olden Days,MOVIE,1933,,8,['animation'],['US'],,,,,4.284,6.1
tm67239,Lonesome Ghosts,MOVIE,1937,,9,['comedy'],['US'],,,,,7.223,6.6
tm3021,Babes in the Woods,MOVIE,1932,,8,['animation'],['US'],,,,,2.971,5.9
tm60305,Pluto's Surprise Package,MOVIE,1949,,7,['animation'],['US'],,,,,2.411,6.1
tm67092,Winter Storage,MOVIE,1949,,7,['comedy'],['US'],,,,,3.75,6.8
tm72295,The Olympic Champ,MOVIE,1942,,7,['animation'],['US'],,,,,3.653,6.5
tm1454,A Knight for a Day,MOVIE,1946,,7,['animation'],['US'],,,,,4.166,6.3
tm112317,Three Blind Mouseketeers,MOVIE,1936,,9,['animation'],['US'],,,,,5.192,6.5
tm82574,The Little Whirlwind,MOVIE,1941,,8,['animation'],['US'],,,,,4.004,6
tm64710,Pluto's Sweater,MOVIE,1949,,7,['animation'],['US'],,,,,4.312,6.8
tm75668,Mr. Duck Steps Out,MOVIE,1940,,8,['animation'],['US'],,,,,6.817,6.2
tm84573,The Art of Skiing,MOVIE,1941,,8,['comedy'],['US'],,,,,4.657,7
tm87968,Early to Bed,MOVIE,1941,,8,['animation'],['US'],,,,,5.348,6.6
tm63613,Pluto and the Gopher,MOVIE,1950,,7,['animation'],['US'],,,,,2.567,6.6
tm63504,Trailer Horn,MOVIE,1950,,6,['animation'],['US'],,,,,4.243,6.3
tm95977,Mail Dog,MOVIE,1947,,7,['animation'],['US'],,,,,1.982,5.7
tm76325,Donald's Dog Laundry,MOVIE,1940,,8,['animation'],['US'],,,,,4.017,6.1
tm5618,Pluto's Purchase,MOVIE,1948,,7,['animation'],['US'],,,,,2.341,6.6
tm117183,Elmer Elephant,MOVIE,1936,G,8,['animation'],['US'],,,,,3.034,5.7
tm88215,The Sound of Music,MOVIE,1965,G,175,"['romance', 'drama', 'family']",['US'],,tt0059742,8.1,225890,17.542,7.7
tm1,Star Wars,MOVIE,1977,PG,125,"['scifi', 'action', 'fantasy']",['US'],,tt0076759,8.6,1321489,77.321,8.2
ts22470,The Muppet Show,SHOW,1976,TV-G,25,"['comedy', 'family', 'music']",['GB'],5,tt0074028,8.4,24278,12.641,8.1
tm189724,Mary Poppins,MOVIE,1964,G,139,"['comedy', 'fantasy', 'family']",['US'],,tt0058331,7.8,169072,35.811,7.6
tm74066,The Muppet Movie,MOVIE,1979,G,97,"['comedy', 'family']",['US'],,tt0079588,7.6,35677,9.572,7.2
tm114017,Oklahoma!,MOVIE,1955,G,148,"['romance', 'western', 'music', 'comedy', 'drama']",['US'],,tt0048445,7,12692,8.837,6.7
tm81911,"Hello, Dolly!",MOVIE,1969,G,146,"['romance', 'comedy']",['US'],,tt0064418,7,15211,6.064,7
tm562,"20,000 Leagues Under the Sea",MOVIE,1954,G,127,"['scifi', 'drama', 'family', 'fantasy']",['US'],,tt0046672,7.2,33346,12.795,7.1
ts30718,Schoolhouse Rock!,SHOW,1973,,3,"['animation', 'family']",['US'],7,tt0069627,8.2,3905,2.987,7.8
tm2,The Empire Strikes Back,MOVIE,1980,PG,124,"['scifi', 'action', 'fantasy']",['US'],,tt0080684,8.7,1248319,27.802,8.4
tm73079,The Black Hole,MOVIE,1979,PG,98,"['scifi', 'action']",['US'],,tt0078869,5.9,25365,10.936,5.8
tm130611,Alice in Wonderland,MOVIE,1951,G,75,"['fantasy', 'family', 'animation', 'comedy']",['US'],,tt0043274,7.4,138935,93.593,7.2
tm58193,Swiss Family Robinson,MOVIE,1960,G,126,"['family', 'action']",['US'],,tt0054357,7.1,16068,10.119,6.9
tm102135,The Aristocats,MOVIE,1970,G,78,"['animation', 'comedy', 'family']",['US'],,tt0065421,7.1,100989,61.914,7.3
tm42943,The Parent Trap,MOVIE,1961,G,129,"['comedy', 'romance', 'family']",['US'],,tt0055277,7.2,21273,10.537,7.1
tm186525,Robin Hood,MOVIE,1973,G,83,"['animation', 'romance', 'comedy', 'family']",['US'],,tt0070608,7.5,124725,38.547,7.3
tm32115,The Sword in the Stone,MOVIE,1963,G,79,"['animation', 'comedy', 'family', 'fantasy']",['US'],,tt0057546,7.1,96481,50.371,7.2
tm105286,Peter Pan,MOVIE,1953,G,77,"['fantasy', 'family', 'animation']",['US'],,tt0046183,7.3,136970,66.222,7.2
tm14236,Bedknobs and Broomsticks,MOVIE,1971,G,117,"['music', 'action', 'fantasy', 'comedy', 'family', 'animation']",['US'],,tt0066817,7,37066,10.737,7
tm124682,Old Yeller,MOVIE,1957,G,83,"['western', 'drama', 'family']",['US'],,tt0050798,7.3,13414,7.861,7
tm121851,The Jungle Book,MOVIE,1967,G,78,"['animation', 'fantasy', 'comedy', 'family']",['US'],,tt0061852,7.6,176762,66.469,7.3
tm37937,Journey to the Center of the Earth,MOVIE,1959,G,132,"['fantasy', 'family', 'romance', 'scifi']",['US'],,tt0052948,7,17352,15.312,7
tm111159,Lady and the Tramp,MOVIE,1955,G,76,"['romance', 'drama', 'animation', 'comedy', 'family']",['US'],,tt0048280,7.3,132982,57.793,7.1
tm91105,The Many Adventures of Winnie the Pooh,MOVIE,1977,G,74,"['animation', 'comedy', 'family']",['US'],,tt0076363,7.5,35737,14.978,7.2
tm11010,The Love Bug,MOVIE,1968,G,107,"['fantasy', 'family', 'sport', 'comedy']",['US'],,tt0064603,6.5,15879,9.733,6.5
ts28051,The Mickey Mouse Club,SHOW,1955,TV-PG,31,"['family', 'music', 'comedy', 'drama']",['US'],3,tt0047757,7.6,779,7.194,5.8
tm92586,Pete's Dragon,MOVIE,1977,G,128,"['fantasy', 'comedy', 'family', 'animation']",['US'],,tt0076538,6.3,24452,24.239,6.4
tm54168,One Hundred and One Dalmatians,MOVIE,1961,G,79,"['comedy', 'family', 'animation']",['US'],,tt0055254,7.3,164790,93.302,7.2
tm47427,Darby O'Gill and the Little People,MOVIE,1959,G,90,"['fantasy', 'romance', 'family']",['US'],,tt0052722,7.1,8121,5.332,6.9
tm41096,The Absent-Minded Professor,MOVIE,1961,G,96,"['scifi', 'sport', 'comedy', 'family']",['US'],,tt0054594,6.7,8290,7.069,6.5
tm92967,The Rescuers,MOVIE,1977,G,78,"['fantasy', 'family', 'animation', 'comedy']",['US'],,tt0076618,6.9,63093,17.902,6.8
tm120497,Escape to Witch Mountain,MOVIE,1975,G,97,"['fantasy', 'scifi', 'family']",['US'],,tt0072951,6.3,10258,8.069,6.4
tm87467,Freaky Friday,MOVIE,1976,G,95,"['fantasy', 'comedy', 'family']",['US'],,tt0076054,6.3,12833,8.063,6.2
tm124852,The Apple Dumpling Gang,MOVIE,1975,G,100,"['western', 'family', 'comedy']",['US'],,tt0072653,6.3,5783,5.898,6.6
tm51992,Sleeping Beauty,MOVIE,1959,G,75,"['romance', 'comedy', 'family', 'fantasy', 'animation', 'european']",['US'],,tt0053285,7.2,146163,69.089,6.9
tm51953,The Shaggy Dog,MOVIE,1959,G,104,"['comedy', 'fantasy', 'family']",['US'],,tt0053271,6.4,5029,5.35,6.1
ts24939,Spider-Woman,SHOW,1979,TV-PG,21,"['animation', 'fantasy', 'action', 'family']",['US'],1,tt0197911,5.8,790,19.081,8
tm56825,Pollyanna,MOVIE,1960,G,134,"['drama', 'comedy', 'family']",['US'],,tt0054195,7.4,10218,10.282,7
tm45750,Babes in Toyland,MOVIE,1961,G,101,"['fantasy', 'romance', 'comedy', 'family']",['US'],,tt0054649,6.1,4173,5.9,6
tm79567,That Darn Cat!,MOVIE,1965,G,112,"['drama', 'crime', 'family', 'thriller', 'comedy']",['US'],,tt0059793,6.7,6922,8.285,6.6
tm123901,The Island at the Top of the World,MOVIE,1974,G,93,"['fantasy', 'scifi', 'family']",['US'],,tt0071671,6.2,2760,6.344,6.2
tm96700,Candleshoe,MOVIE,1977,PG,97,"['family', 'comedy', 'drama']","['GB', 'US']",,tt0075807,6.7,4377,4.977,6.9
tm68472,The Computer Wore Tennis Shoes,MOVIE,1969,G,91,"['drama', 'comedy', 'family', 'scifi']",['US'],,tt0065566,6,5226,6.799,6.1
tm12159,Return from Witch Mountain,MOVIE,1978,G,95,"['scifi', 'fantasy', 'family']",['US'],,tt0078158,5.7,5100,6.711,5.9
tm324940,The Sign of Zorro,MOVIE,1958,,91,"['western', 'family', 'romance', 'drama']",['US'],,tt0054307,6.9,1047,3.832,7.4
tm15888,Blackbeard's Ghost,MOVIE,1968,G,106,"['fantasy', 'comedy', 'family']",['US'],,tt0062737,6.8,5980,10.982,6.7
tm66587,Lambert the Sheepish Lion,MOVIE,1952,,8,['animation'],['US'],,,,,4.687,7
tm59862,The Story of Robin Hood and His Merrie Men,MOVIE,1952,,83,"['action', 'family']",['US'],,tt0045197,6.6,1913,5.428,6.3
tm119319,The Happiest Millionaire,MOVIE,1967,G,172,"['comedy', 'drama', 'romance', 'family']",['US'],,tt0061749,6.6,2138,4.688,6.7
tm87512,The Shaggy D.A.,MOVIE,1976,G,91,"['fantasy', 'comedy', 'european', 'family']",['US'],,tt0075200,5.8,3011,5.38,5.7
tm30426,The Incredible Journey,MOVIE,1963,G,80,"['family', 'action', 'drama', 'comedy']","['CA', 'US']",,tt0057180,7,4645,4.578,6.7
